ID,Unnamed: 0,MagpieData avg_dev GSvolume_pa,MatscholarElementData mean embedding 54,MatscholarElementData std_dev embedding 116,MatscholarElementData std_dev embedding 155,MatscholarElementData mean embedding 4,PymatgenData mean mendeleev_no,MatscholarElementData std_dev embedding 136,MatscholarElementData std_dev embedding 153,MatscholarElementData mean embedding 140,MatscholarElementData mean embedding 170,H1N4H1,H1N3H1,H1N3C3,N3C3N3,N3C3H1,H1C3C3,C3C3N3,C3N3C3,H1C4H1,H1C4C4,C4C4C4,C4C4N4,H1C4N4,C4N4H1,N4N3H1,H1N4N3,C4N4C4,H1N4O2,N4O2H1,C3C4H1,C4C3N3,Ymean
11,11,12.558488888888888,0.0277312474014858,0.0872355708269211,0.0813948559659548,0.0496476995448271,99.13333333333334,0.012460504190152,0.1088626839235771,-0.0113696468994021,-0.0595676317811012,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.896390909090909
12,12,2.804328703703704,0.0101688400609418,0.034306107103891,0.0724908286109099,0.0597257004636857,100.27777777777776,0.0176646994594071,0.0604000984294141,-0.0024936557359372,-0.0590389317108525,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8033125000000005
13,13,3.6292669753086426,0.0147547345065201,0.0570576678774068,0.0749365323760945,0.0556158894259068,100.22222222222224,0.0176993544124577,0.0610461060402358,-0.0038450057230268,-0.0575077761378553,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.057799999999999
15,15,6.3648842592592585,0.0191997398311893,0.0651267390248346,0.0627612088020903,0.0546933337011271,99.77777777777776,0.0172769613535657,0.0639984739977759,0.0124692944809794,-0.070028781476948,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.271841666666667
16,16,7.189822530864196,0.0237856342767675,0.0776844552920075,0.0650933441941431,0.0505835226633482,99.72222222222224,0.0174254602219782,0.0645634523054285,0.0111179444938898,-0.0684976259039508,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.954278571428572
17,17,6.7745447530864205,0.0196558453349603,0.0730880274128736,0.0654065872526063,0.0542880448823173,99.66666666666669,0.0192103869471913,0.0641949806484354,0.0140386167396273,-0.0715208926962481,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.268818181818181
18,18,7.564375,0.0232877401091779,0.0667716593514297,0.0670121760518343,0.046503450618022,99.61111111111111,0.0136142979308739,0.0803437972769694,-0.0026493057763824,-0.0658171489420864,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.605007692307692
19,19,8.389313271604939,0.0278736345547561,0.0789740321158677,0.0694155658606445,0.0423936395802431,99.55555555555556,0.0137767372431164,0.0806568278750763,-0.0040006557634721,-0.0642859933690892,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3174153846153844
21,21,10.822800925925923,0.0250608562879885,0.0774286829020971,0.0790092797567749,0.049386316186024,99.44444444444444,0.010438371786482,0.1043807582026335,-0.0108774891123175,-0.0595128482414616,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8908083333333328
22,22,11.647739197530866,0.0296467507335667,0.08761936528235,0.0814712932716867,0.0452765051482452,99.38888888888889,0.0105944203497864,0.1044878468365667,-0.0122288390994071,-0.0579816926684644,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6303461538461543
