ID,hid,Ymean,MagpieData avg_dev GSvolume_pa,MatscholarElementData mean embedding 54,MatscholarElementData std_dev embedding 116,MatscholarElementData std_dev embedding 155,MatscholarElementData mean embedding 4,PymatgenData mean mendeleev_no,MatscholarElementData std_dev embedding 136,MatscholarElementData std_dev embedding 153,MatscholarElementData mean embedding 140,MatscholarElementData mean embedding 170,MatscholarElementData std_dev embedding 71,MagpieData mean CovalentRadius,MatscholarElementData range embedding 71,MagpieData avg_dev CovalentRadius,MagpieData avg_dev Row,MatscholarElementData mean embedding 49,MatscholarElementData mean embedding 5,MatscholarElementData std_dev embedding 198,MatscholarElementData std_dev embedding 118,MatscholarElementData std_dev embedding 72,MatscholarElementData mean embedding 97,MatscholarElementData mean embedding 82,MatscholarElementData std_dev embedding 177,MatscholarElementData mean embedding 39,MatscholarElementData mean embedding 163,MatscholarElementData mean embedding 14,MatscholarElementData minimum embedding 75,MatscholarElementData std_dev embedding 172,MatscholarElementData std_dev embedding 125,MatscholarElementData mean embedding 167,H1N4H1,H1N3H1,H1N3C3,N3C3N3,N3C3H1,H1C3C3,C3C3N3,C3N3C3,H1C4H1,H1C4C4,C4C4C4,C4C4N4,H1C4N4,C4N4H1,N4N3H1,H1N4N3,C4N4C4,H1N4O2,N4O2H1,C3C4H1,C4C3N3,Ystd,selector1,selector2,prop_value
10,10,2.5906583333333333,13.06448888888889,0.0326869941316545,0.0913060704411707,0.0831190710912787,0.0452022728820641,99.2,0.0097261983571794,0.1088933178574205,-0.0148744535942872,-0.0559397116303443,0.0419673352468103,68.46666666666667,0.0875779949128627,39.96444444444444,1.4577777777777778,-0.0791313608487447,-0.0301218670482436,0.09641133561304,0.0775915127910348,0.0356454585012606,-0.0447161682881414,0.0297875221353024,0.0426194518412449,-0.0017895734558502,-0.0551420458282033,-0.12290930300951,-0.0514380000531673,0.0670108939631374,0.0189149614966514,-0.0080367003877957,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4359593276657673,1,0,2.5906583333333333
11,11,2.896390909090909,12.558488888888888,0.0277312474014858,0.0872355708269211,0.0813948559659548,0.0496476995448271,99.13333333333334,0.012460504190152,0.1088626839235771,-0.0113696468994021,-0.0595676317811012,0.0486803840310447,68.93333333333334,0.1095980964601039,40.462222222222216,1.5555555555555556,-0.0752514804402987,-0.032947160427769,0.0966720958748983,0.0698209080179441,0.0320972016375378,-0.0487759216999014,0.0270767153085519,0.0376648438054549,0.0025621666262547,-0.0604385190332929,-0.1205229764183362,-0.0253896992653608,0.0670526893400375,0.0384712122153863,-0.0074220004181067,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,0.4545454545454546,0.0,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3203791268311513,1,0,2.896390909090909
12,12,5.8033125000000005,2.804328703703704,0.0101688400609418,0.034306107103891,0.0724908286109099,0.0597257004636857,100.27777777777776,0.0176646994594071,0.0604000984294141,-0.0024936557359372,-0.0590389317108525,0.0757730898538256,50.0,0.1596572995185852,21.11111111111111,0.6172839506172839,-0.0528888129111793,-0.0220989224811395,0.0275550270251772,0.0557315003905302,0.0071912045414651,-0.0579865571732322,0.014814133510097,0.0306658387832497,0.0139270390176938,-0.0719207105640735,-0.1179587244987487,-0.0240005999803543,0.0634369121734332,0.0323073533933961,0.01322529431329,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167408016854459,1,0,5.8033125000000005
13,13,5.057799999999999,3.6292669753086426,0.0147547345065201,0.0570576678774068,0.0749365323760945,0.0556158894259068,100.22222222222224,0.0176993544124577,0.0610461060402358,-0.0038450057230268,-0.0575077761378553,0.0743281320774782,51.05555555555557,0.1551971994340419,22.28395061728395,0.6790123456790123,-0.0498391909317837,-0.0202220613654289,0.0282241947149227,0.0628693159592161,0.0136865438401527,-0.0509033628428975,0.0165953669929876,0.034663724871059,0.0131209333841171,-0.0697894272808399,-0.118368252283997,-0.0514380000531673,0.0679248068758179,0.0283342555061468,0.0090483443604575,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1349376399180994,1,0,5.057799999999999
14,14,5.654672727272726,3.2139891975308634,0.0106249455647129,0.0499886879917469,0.0743098261940274,0.059320411644876,100.16666666666669,0.0186856553387114,0.0606282006422387,-0.0009243334772893,-0.0605310429301526,0.0764887688752223,51.44444444444444,0.1551971994340419,22.71604938271605,0.7407407407407408,-0.0466059572580787,-0.0225764725150333,0.0286608922082707,0.0531767250006274,0.0114101598081257,-0.0542864906860308,0.0143363613040289,0.0303686786372655,0.0167473834525379,-0.0742031549517479,-0.1163796467913521,-0.0240005999803543,0.0631784075935155,0.0400201208033975,0.0095605943351984,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2947828186679445,1,0,5.654672727272726
15,15,4.271841666666667,6.3648842592592585,0.0191997398311893,0.0651267390248346,0.0627612088020903,0.0546933337011271,99.77777777777776,0.0172769613535657,0.0639984739977759,0.0124692944809794,-0.070028781476948,0.0434245747132169,57.5,0.0920380949974059,29.44444444444445,0.8024691358024691,-0.0685206295715438,-0.0332780728737513,0.0264814847596351,0.0602830644674414,0.0212619786841203,-0.0717219064633051,0.0200756677141827,0.0378193945211088,0.0107228722837236,-0.0514245933025247,-0.1220749405523141,-0.0460110008716583,0.0447164175308495,0.0592866032580602,0.0227885609233958,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3607069383568715,1,0,4.271841666666667
16,16,3.954278571428572,7.189822530864196,0.0237856342767675,0.0776844552920075,0.0650933441941431,0.0505835226633482,99.72222222222224,0.0174254602219782,0.0645634523054285,0.0111179444938898,-0.0684976259039508,0.0427152921391616,58.55555555555557,0.0875779949128627,30.61728395061728,0.8641975308641976,-0.0654710075921482,-0.0314012117580407,0.0262820194640379,0.0667399650508254,0.0249538101141648,-0.0646387121329705,0.0218569011970733,0.0419923994460752,0.0099167666501469,-0.0492933100192911,-0.1224844683375623,-0.0514380000531673,0.0480567649841394,0.0582368360471636,0.0186116109705633,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3663831625678052,1,0,3.954278571428572
17,17,4.268818181818181,6.7745447530864205,0.0196558453349603,0.0730880274128736,0.0654065872526063,0.0542880448823173,99.66666666666669,0.0192103869471913,0.0641949806484354,0.0140386167396273,-0.0715208926962481,0.0488000515475883,58.94444444444444,0.1095980964601039,31.049382716049383,0.9259259259259258,-0.0622377739184432,-0.0337556229076451,0.0267127046860267,0.0580199173478073,0.0221589513101507,-0.0680218399761037,0.0195978955081146,0.0376521875070831,0.0135432167185677,-0.053707037690199,-0.1204958628449175,-0.0460110008716583,0.0460960430593852,0.0630983337265968,0.0191238609453042,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3800164860060201,1,0,4.268818181818181
18,18,3.605007692307692,7.564375,0.0232877401091779,0.0667716593514297,0.0670121760518343,0.046503450618022,99.61111111111111,0.0136142979308739,0.0803437972769694,-0.0026493057763824,-0.0658171489420864,0.0426251270491058,60.5,0.0920380949974059,32.77777777777778,0.9876543209876544,-0.0732395143972502,-0.0297164395451545,0.037698107994954,0.0753256357180021,0.0195322538249816,-0.0671513912578423,0.0307960361889046,0.0342340335250737,0.0064526715108917,-0.068793528040664,-0.1164086759090423,-0.1150031089782714,0.0437406597495294,0.0547413891934284,0.0144794766222023,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068436236474207,1,0,3.605007692307692
19,19,3.3174153846153844,8.389313271604939,0.0278736345547561,0.0789740321158677,0.0694155658606445,0.0423936395802431,99.55555555555556,0.0137767372431164,0.0806568278750763,-0.0040006557634721,-0.0642859933690892,0.0421264803641923,61.55555555555557,0.0875779949128627,33.95061728395061,1.0493827160493827,-0.0701898924178547,-0.0278395784294439,0.0394165869557412,0.0802392344483359,0.023415282575171,-0.0600681969275077,0.0325772696717952,0.0383983203995188,0.0056465658773149,-0.0666622447574304,-0.1168182036942905,-0.1150031089782714,0.0472444771146774,0.0534351769010875,0.0103025266693698,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.6428571428571427,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285675964694365,1,0,3.3174153846153844
