id_cmb,onehot-1,onehot-2,prop,md_prop
2071,1,0,194.0,139.3574273346156
2075,1,0,14.5,-3.2783168185166005
2080,1,0,230.0,73.6384147239368
2082,1,0,-91.0,-118.78155271969936
2087,1,0,109.0,141.1070509012241
2090,1,0,206.7,204.55497091330022
2092,1,0,29.5,-15.506806496319811
2094,1,0,193.0,145.85886693306915
2101,1,0,154.5,24.709309026161222
2106,1,0,2.0,-1.6207670387256172
2110,1,0,170.0,163.82142816780078
2111,1,0,62.5,44.28325342020662
2113,1,0,70.0,62.96836199432113
2117,1,0,24.5,-2.726949751220417
2118,1,0,158.0,128.35498818053566
2124,1,0,68.0,31.860140707992677
2128,1,0,-57.0,31.351421414442548
2134,1,0,147.5,299.7368885633341
2135,1,0,152.0,94.90648585011385
2142,1,0,100.0,178.51456458162647
2150,1,0,82.0,70.60077433725206
2152,1,0,-57.0,-20.18701318639198
2153,1,0,-20.0,27.440739478408148
2157,1,0,-8.0,70.57276410106041
2163,1,0,97.5,114.22211594878254
2168,1,0,37.0,54.92174328380878
2173,1,0,164.0,88.21762881267283
2179,1,0,-70.0,-66.33808803655836
2183,1,0,-17.0,-27.14996223607649
2189,1,0,4.0,-23.706281530503247
2205,1,0,104.0,65.54622938063875
2206,1,0,100.5,140.57128891920104
2220,1,0,92.5,98.65432855916445
2226,1,0,64.0,97.5129033264131
2257,1,0,37.0,50.82525434872232
2260,1,0,91.0,41.56593078665136
2263,1,0,59.5,11.41040346968802
2267,1,0,99.0,59.25890295730379
2277,1,0,105.0,60.10444236814648
2284,1,0,154.0,51.1324534520569
2285,1,0,2.5,-5.7500553009465705
2286,1,0,79.0,24.703438876314806
2287,1,0,2.0,-19.071436072025122
2290,1,0,145.5,179.3736820922981
2292,1,0,108.0,137.2342762956436
2304,1,0,130.0,161.8160422804898
2320,1,0,66.5,133.99576975937998
2333,1,0,-7.0,-19.80979930316731
2335,1,0,95.0,106.19950350254773
2338,1,0,97.0,120.11038434242246
2345,1,0,42.0,31.052108635809546
2350,1,0,129.0,88.47878561730413
2353,1,0,76.0,72.06210111545502
2360,1,0,187.0,128.87561533790867
2363,1,0,33.0,-9.187649644892701
2365,1,0,68.0,51.05834686421679
2368,1,0,207.0,243.19982137237918
2369,1,0,-54.0,-71.8552397191898
2383,1,0,113.5,125.23021985151723
2386,1,0,191.5,168.083827212819
2390,1,0,-1.9,66.73459959627789
2398,1,0,142.0,135.32609381964764
2400,1,0,36.5,33.75525858713893
2408,1,0,216.0,204.02739254717721
2413,1,0,58.0,23.28008429209995
2417,1,0,262.5,198.84435292928492
2419,1,0,90.0,114.62961569719087
2422,1,0,174.0,169.42243758958256
2436,1,0,55.0,75.24068928632614
2439,1,0,39.0,52.79598689287917
2440,1,0,57.5,69.15508507608934
2444,1,0,62.5,73.59649666495066
2445,1,0,-51.0,-20.427192042999394
2447,1,0,19.0,-14.119494415950172
2448,1,0,18.0,46.068254639434656
2450,1,0,140.5,184.1915292019735
2451,1,0,117.5,130.1701617537625
2461,1,0,56.5,52.04847249811821
2466,1,0,85.5,78.89919261192344
2468,1,0,268.5,192.94917656925114
2473,1,0,67.0,91.72623757816393
2476,1,0,-56.0,-23.860570257221568
2483,1,0,-10.0,67.50888100949138
2484,1,0,165.0,161.73192508720257
2489,1,0,65.5,46.487883868741115
2495,1,0,86.0,89.97537653694172
2497,1,0,16.25,19.530831476841996
2507,1,0,50.0,70.6682972763694
2508,1,0,104.5,71.96298422988069
2514,1,0,76.0,89.67877721615669
2516,1,0,120.5,142.9230785109848
2517,1,0,74.5,79.47774290535004
2525,1,0,138.0,143.1236473693652
2531,1,0,152.0,138.8737453652723
2532,1,0,136.5,150.3295265705667
2539,1,0,167.0,139.58313621779865
2544,1,0,109.5,203.3235475268262
2548,1,0,84.0,67.49028139105536
2549,1,0,72.5,62.11212010033303
2563,1,0,300.0,291.20205824667244
2564,1,0,145.0,177.42861929180663
2567,1,0,82.0,73.89463649467328
2568,1,0,112.5,111.66677377604455
2569,1,0,67.0,95.91157874453528
2572,1,0,-67.0,-78.91788402096205
2574,1,0,-75.0,-103.71308346514118
2578,1,0,31.0,47.496057781037734
2580,1,0,125.5,161.198746835959
2592,1,0,57.0,111.03080303895452
2594,1,0,67.5,115.53707816203038
2595,1,0,-70.0,-22.833629162358875
2599,1,0,-80.0,-13.283381838746664
2600,1,0,119.0,101.93394776553106
2606,1,0,86.0,88.15371661029343
2610,1,0,180.5,115.7530088674306
2611,1,0,74.0,92.95275295721572
2626,1,0,13.0,80.69802091235911
2629,1,0,155.0,153.00379062799254
2632,1,0,-125.0,-38.68024461571083
2639,1,0,131.0,120.14289178365298
2646,1,0,58.5,93.81831357895264
2647,1,0,198.0,176.285291395385
2654,1,0,161.5,158.63768586162112
2658,1,0,280.0,190.56357145496355
2665,1,0,23.0,52.81749455976581
2676,1,0,96.5,80.23878709012017
2678,1,0,119.0,18.089147538917004
2682,1,0,49.5,99.89842736128291
2688,1,0,137.5,89.6507831958486
2690,1,0,36.0,5.299134245418514
2696,1,0,65.0,38.47999409344938
2697,1,0,219.5,167.6409390012021
2699,1,0,84.5,47.57377510561579
2707,1,0,54.5,116.74360476195507
2715,1,0,56.0,59.24784913001473
2719,1,0,-45.0,-60.381756174349334
2722,1,0,97.0,82.87263035514131
2728,1,0,91.5,150.19768062668663
2729,1,0,42.0,12.404501995060087
2733,1,0,156.5,140.7124049431793
2741,1,0,-16.0,1.1852618831625392
2743,1,0,50.5,84.48402964588092
2744,1,0,-15.0,7.637718702695068
2745,1,0,159.0,102.65202492634766
2757,1,0,29.0,32.35300086742735
2764,1,0,219.0,168.67300972056228
2772,1,0,6.0,38.17081665232124
2773,1,0,163.5,109.69074944855468
2775,1,0,66.0,59.93049458526663
2777,1,0,107.5,149.51915400585733
2778,1,0,60.5,35.38799806509285
2788,1,0,54.0,45.324156390808994
