ind,omlog,std_dev Gaussian center=2.0 width=1.0,OFM: p^1 - s^2,OFM: s^2 - s^2,OFM: s^1 - d^10,std_dev Gaussian center=1.0 width=1.0,mean Gaussian center=5.0 width=1.0,std_dev Gaussian center=7.0 width=1.0,std_dev Gaussian center=4.0 width=1.0,OFM: s^1 - s^2,mean Gaussian center=6.0 width=1.0,mean Gaussian center=1.0 width=1.0,avg d valence electrons,OFM: d^1 - s^1,OFM: p^2 - s^1,OFM: d^2 - s^1,OFM: s^1 - s^1,OFM: s^2 - s^1,mean Gaussian center=7.0 width=1.0,max packing efficiency,OFM: s^1 - f^1,std_dev Gaussian center=0.0 width=1.0,OFM: p^1 - s^1,avg s valence electrons,mean Gaussian center=0.0 width=1.0,structural complexity per cell,OFM: s^1 - d^1,mean Gaussian center=2.0 width=1.0,mean Gaussian center=3.0 width=1.0,mean Gaussian center=4.0 width=1.0,mean Gaussian center=9.0 width=1.0,structural complexity per atom,mean Gaussian center=8.0 width=1.0,OFM: p^4 - s^1,std_dev Gaussian center=5.0 width=1.0,std_dev Gaussian center=3.0 width=1.0,OFM: s^2 - p^1,avg p valence electrons,OFM: p^1 - p^1
23,1230.0,0.0018184475297007,0.053290506869965,0.053290506869965,0.0,0.004546773069366,0.2096236793033052,0.0011523935520978,0.0022962078005646,0.928074361222314,0.2112199056679904,0.176268336033962,0.0,0.0,0.0,0.0,0.0696296902285103,0.9423152804277884,0.2102136890202021,0.5073028796227614,0.0,0.0052192159661424,0.9423152804277884,1.5,0.0741860948713495,11.509775004326936,0.0,0.2147934434958008,0.2082093716333544,0.2119899509001939,0.2145792971032196,1.918295834054489,0.210828605626782,0.0,0.0011129552727803,0.0015936929152505,0.053290506869965,0.5,0.053290506869965
24,1555.0,0.0010314874960037,0.0532947113959671,0.0532947113959671,0.0,0.0031852627852409,0.2411098005425073,0.0009144353537605,0.0011342754212872,0.9763556945303205,0.2416258734014443,0.2099308422131239,0.0,0.0,0.0,0.0,0.0681640616957523,0.9760884896381772,0.2417578478657353,0.5125416302096659,0.0,0.0048109795755016,0.9760884896381772,1.5,0.0973762859552175,11.509775004326936,0.0,0.2448663624028051,0.2397659570128205,0.2423732097965855,0.2423633280384118,1.918295834054489,0.2411703325401342,0.0,0.0008166519870748,0.0007404176543138,0.0532947113959671,0.5,0.0532947113959671
25,326.243,0.0,2.222975755834911,2.222975755834911,0.0,0.0,0.0658096141260054,0.0,0.0,0.0,0.0579328016455836,0.0115662284919595,0.0,0.0,0.0,0.0,0.0,0.0,0.061391566424345,0.7404804896930608,0.0,0.0,0.0,2.0,0.0006162253728848,0.0,0.0,0.058461706815248,0.0677666278092,0.0536910176773559,0.0568344595233442,0.0,0.0614018606295989,0.0,0.0,0.0,2.222975755834911,1.0,2.222975755834911
26,1240.0,0.0053880668574352,0.0,0.0,0.3603239363469598,0.0054548468347673,0.4671739119794592,0.0014957335066653,0.0039843432564428,0.3603239363469598,0.4666423131580956,0.4420641748168812,1.1111111111111112,0.0,0.0,0.0,1.3830078911986483,0.1384905453400941,0.4658104212734562,0.2404677443618796,0.0,0.0410399290274677,0.0,1.1111111111111112,0.3151936039714904,41.058650025961626,0.0,0.464059587405406,0.4689271749417066,0.4647467582946408,0.461273628317033,2.281036112553424,0.4668268384082593,0.0,0.0019196575994046,0.0056759591086802,0.0,0.3333333333333333,0.0
27,1169.0,0.0044671759566787,0.0,0.0,0.3702000572311423,0.0065530365989965,0.4895482388134369,0.0008243207074961,0.0042318483212713,0.3702000572311423,0.4886966715456095,0.4646355888669492,1.1111111111111112,0.0,0.0,0.0,1.41570480876226,0.1415537897253047,0.4883785090975843,0.2465419964692839,0.0,0.0417287192098654,0.0,1.1111111111111112,0.3361729910012354,41.058650025961626,0.0,0.486476272298554,0.4910831696402575,0.4870072100056792,0.4844129823491097,2.281036112553424,0.4889336336696023,0.0,0.0025600056103472,0.005329121450468,0.0,0.3333333333333333,0.0
28,1153.0,0.003655643649669,0.0,0.0,0.3820830786194005,0.0075340013921791,0.5105138722906983,0.0002398398937757,0.0043776807894541,0.3820830786194005,0.5093465464537653,0.4857117526275332,1.1111111111111112,0.0,0.0,0.0,1.4470241529993535,0.1447409607803815,0.5095270857195042,0.2527621975053388,0.0,0.0423984371094777,0.0,1.1111111111111112,0.356030525737766,41.058650025961626,0.0,0.5075330184569095,0.5118204200274329,0.5078986076910494,0.5140184085508925,2.281036112553424,0.5101356500282174,0.0,0.003048258897336,0.00498620387006,0.0,0.3333333333333333,0.0
29,995.0,0.0081484542464822,0.0,0.206629768760546,0.679672781121668,0.0051752386736416,0.1906481790932181,0.0013380094965867,0.0028673091133773,0.679672781121668,0.1916318685458393,0.1558988061164418,5.0,0.0,0.0,0.0,0.2912215699742222,0.6796727811216674,0.190145859411219,0.3774414552296377,0.0,0.0108911480561846,0.0,1.5,0.0661541131655159,4.0,0.0,0.1926170134363308,0.1908968017738691,0.1908416291929293,0.1910152895627382,1.0,0.1913930119180213,0.0,0.0003081378321184,0.005955763663859,0.0,1.5,0.0
30,1166.0,0.0071685764419125,0.0,0.2014918367920951,0.7074288321728711,0.0038871407187662,0.2084253881564065,0.0007428735998293,0.003741033742717,0.7074288321728711,0.2082039091037207,0.1742791076907122,5.0,0.0,0.0,0.0,0.2794466525155927,0.7074288321728707,0.207286735880491,0.3877439523231382,0.0,0.010819253662055,0.0,1.5,0.0777600170097313,4.0,0.0,0.2094443468545204,0.2084354988922085,0.207063723411641,0.2075296538143764,1.0,0.2087762126280774,0.0,0.0016009788446105,0.0059408607303396,0.0,1.5,0.0
31,1270.0,0.0011021481276896,0.1047242576731178,0.1047242576731178,0.0,0.0007453012290984,0.5259033556649634,0.000296138482598,0.0012298325438133,0.6162947934774654,0.5260288745034751,0.5054464929982723,0.0,0.0,0.0,0.0,1.32397815196678,0.52174053940463,0.526244525383126,0.3857295482415521,0.0,0.0065658245989698,0.52174053940463,1.25,0.3559774838575945,24.0,0.0,0.5255140254637771,0.5264534585820017,0.5259543234422701,0.525550195209637,1.5,0.5258115332498936,0.0,0.0009629209031448,0.0013350393626912,0.1047242576731178,0.25,0.1047242576731178
32,393.0,0.0069229583553891,1.1903047843168533,1.6133477161464305,0.0,0.0115770028912003,0.1175908724682992,0.0004265733153109,0.0028816731781367,0.0,0.1167597019737008,0.0742914525651221,0.0,0.0,0.0,0.0,0.0,0.0,0.11822219642412,0.4547307115760405,0.0,0.0093535338482154,0.0,2.0,0.0218818895076667,2.7548875021634687,0.0,0.1218332288274172,0.1151755205419702,0.1187263827238206,0.118449583926683,0.9182958340544896,0.1169696379260593,0.0,0.0002774083554558,0.0013881498217272,0.957090341289979,1.3333333333333333,0.60024032461407
33,475.0,0.0072666866363566,1.2054939013138155,1.6367074447435253,0.0,0.0110480679558093,0.1223080297025171,0.0010664831667546,0.0027574655713195,0.0,0.1236535362250382,0.0805326301943457,0.0,0.0,0.0,0.0,0.0,0.0,0.1234033381035133,0.4553089907949578,0.0,0.0098716693071898,0.0,2.0,0.024432331641382,2.7548875021634687,0.0,0.1282239399562678,0.1203942604824869,0.1256808357414474,0.1192171644042699,0.9182958340544896,0.1235315563649493,0.0,5.2337457477495885e-05,0.000762811361959,0.9759658976854584,1.3333333333333333,0.6079808992745274
34,480.0,0.0056282545973239,1.1696533934668556,1.6186130103563527,0.0,0.008932011217818,0.1180313960382226,0.0018077149428458,0.0027044553824965,0.0,0.1168947226353216,0.0766563566387259,0.0,0.0,0.0,0.0,0.0,0.0,0.1162081241161364,0.3980766658039705,0.0,0.0073485216213234,0.0,2.0,0.0224411987532784,9.509775004326936,0.0,0.1171900523481474,0.1186824425183313,0.1156253877199003,0.1146490692732465,1.584962500721156,0.1184321473378035,0.0,0.0006143860646064,0.0023364968885329,0.9977930619340744,1.3333333333333333,0.5999780687291427
35,540.0,0.0060151242626534,1.1974028116186402,1.6557050839473966,0.0,0.0085714282939686,0.1235415736567527,0.0019942189957624,0.0028934964695825,0.0,0.1225494657362189,0.0826896130090864,0.0,0.0,0.0,0.0,0.0,0.0,0.1225251264668962,0.402463488413403,0.0,0.0078263079186121,0.0,2.0,0.0251259557704871,9.509775004326936,0.0,0.1233968562542249,0.1240613489792193,0.1218049145973902,0.1210541959343081,1.584962500721156,0.1235753018787547,0.0,5.714875651425773e-05,0.0022458164565762,1.0174649504416549,1.3333333333333333,0.6098042038371329
36,532.0,0.0064207837702298,1.252003321424082,1.5896037150894498,0.0,0.0078357338892482,0.124869401601399,0.000767423550386,0.0020744766689719,0.0,0.1255143204637652,0.084358560091434,0.0,0.0,0.0,0.0,0.0,0.0,0.1241912463485398,0.4149635252124536,0.0,0.0074363831332544,0.0,2.0,0.0258694399432402,16.0,0.0,0.1249413738983486,0.1270694358387802,0.1232619300042039,0.1243699558094807,2.0,0.1249599523544879,0.0,0.0020956775050811,0.0037070508027034,1.1234065263534747,1.25,0.8322417870234583
37,563.0,0.0063996895901515,1.2737271782417807,1.6163607952567725,0.0,0.0074906622134285,0.1305141871969006,0.0009109618460394,0.002205847151991,0.0,0.1310689177752019,0.0903014256014578,0.0,0.0,0.0,0.0,0.0,0.0,0.1301795824590368,0.417644600895304,0.0,0.0079875870980606,0.0,2.0,0.0287738232992074,16.0,0.0,0.1311262175968597,0.1323478129351162,0.1292606304581597,0.1293432717236741,2.0,0.1304170573408937,0.0,0.0019887841703888,0.0038105192199714,1.1399761324562323,1.25,0.8443259900555068
38,487.0,0.0052335759948674,1.321727712322212,1.6649990447806513,0.0,0.0173479255958806,0.1272601536973935,0.0033428466696823,0.0011117666638108,0.0,0.1255179667004298,0.0869110568690603,0.0,0.0,0.0,0.0,0.0,0.0,0.1256322222048254,0.4343845501778032,0.0,0.0108952924968658,0.0,2.0,0.0276399805140761,16.0,0.0,0.1280392990846368,0.1267760558193898,0.1238625460663875,0.1261373424899343,2.0,0.125160379265885,0.0,0.0017698406035373,0.0070216544228558,1.2222960168335546,1.25,0.9128848107121968
39,542.0,0.0055516771040677,1.338930144911427,1.6876330871390026,0.0,0.0168317838415228,0.1327336561957884,0.0031984765986194,0.00162380087938,0.0,0.1314217175666657,0.0929468217677375,0.0,0.0,0.0,0.0,0.0,0.0,0.131702948132876,0.4378883089692522,0.0,0.0114362709946995,0.0,2.0,0.0304875022393445,16.0,0.0,0.1343481337592349,0.1320857899674889,0.1304524413636019,0.129906646972563,2.0,0.1308139664835132,0.0,0.0016725540656335,0.0069180053627119,1.237282767041212,1.25,0.9203422507137384
40,565.0,0.0053894620243501,1.4440829078984323,1.6846742005398232,0.0,0.0105903329302112,0.124693155791867,0.0016249626135508,0.0017299307290031,0.0,0.1247801530101004,0.0836963956055994,0.0,0.0,0.0,0.0,0.0,0.0,0.1227540639489885,0.4392884358151684,0.0,0.009536932355558,0.0,2.0,0.0279385452037477,3.6096404744368114,0.0,0.1241316534317542,0.1265624663099868,0.1215298976636896,0.1257805320161597,0.7219280948873623,0.1253260474571311,0.0,0.002072548403297,0.0024108307965315,1.1106110391030353,1.2,0.9029565582950588
41,213.3034967133177,0.0030256184902903,0.0,0.0,0.264072219628525,0.0106000619720648,0.0563945272638329,0.0011278281759362,0.0022776232608828,0.2208009829980269,0.0589001595997423,0.0271187396330543,2.857142857142857,0.0,0.0,0.0,0.6138665719583767,0.0995352414543948,0.0535645150750605,0.206611586493431,0.0,0.007094052419053,0.0,1.1428571428571428,0.0131517013879879,9.651484454403228,0.0,0.0422444533184268,0.062923373009034,0.0512641214515111,0.0551167962885062,1.3787834934861751,0.0557174772923795,0.0,0.0024451588572122,0.004035334274426,0.0,0.0,0.0
42,95.61752988047785,0.0197553300652115,0.0,0.0001337204880943,0.0,0.0319595974659816,0.1263978219628141,0.0057120692131088,0.0076599782501422,0.4895200772220066,0.1289984469853952,0.1131956559633082,0.0,0.0,0.3472762859397805,0.0,0.4663426998612761,0.4201671162807835,0.1289596115118143,0.1763849923449471,0.0,0.0584582635402997,0.0,1.2727272727272727,0.098152297597461,90.10749561002052,0.0,0.1169378056172218,0.1312719997355768,0.1309858795665069,0.1273939420562171,4.095795255000932,0.1252108527992194,0.0,0.0061976695793075,0.014407042736312,0.0,0.3636363636363636,0.0
43,264.5418326693225,0.0210986670564291,0.0,0.0001306111156258,0.0,0.0356279123177268,0.1492413395518894,0.0051328802414492,0.0052327503589163,0.4987894010499129,0.1503902161463717,0.1321225845841618,0.0,0.0,0.3488672747061717,0.0,0.4936965640983258,0.4251901651414618,0.1486143642778616,0.1919799383663765,0.0,0.0579925373238945,0.0,1.2727272727272727,0.1049419299097329,90.10749561002052,0.0,0.1434482198605704,0.1529890843426772,0.1499893241342222,0.1536592735357776,4.095795255000932,0.1470298305880969,0.0,0.0079686810429525,0.0154857168769767,0.0,0.3636363636363636,0.0
44,114.74103585657348,0.021681218288732,0.0,0.0002545361126128,0.0,0.03767264009595,0.1652135768091981,0.0050540083840487,0.0047271017359451,0.5054091013323313,0.1645117428223341,0.1462290823070956,0.0,0.0,0.3508934493395773,0.0,0.5161866660664651,0.4296543999606161,0.1628762287547395,0.2020374184303958,0.0,0.0578115951914881,0.0,1.2727272727272727,0.1111754568139039,90.10749561002052,0.0,0.1611015134415235,0.1671740487765914,0.1640565135844028,0.1678667969273148,4.095795255000932,0.1635623903411534,0.0,0.0092751697679805,0.0154620254978229,0.0,0.3636363636363636,0.0
