id,target,pesm_0000,pesm_0001,pesm_0002,pesm_0003,pesm_0004,pesm_0005,pesm_0006,pesm_0007,pesm_0008,pesm_0009,pesm_0010,pesm_0011,pesm_0012,pesm_0013,pesm_0014,pesm_0015,pesm_0016,pesm_0017,pesm_0018,pesm_0019,pesm_0020,pesm_0021,pesm_0022,pesm_0023,pesm_0024,pesm_0025,pesm_0026,pesm_0027,pesm_0028,pesm_0029,pesm_0030,pesm_0031,pesm_0032,pesm_0033,pesm_0034,pesm_0035,pesm_0036,pesm_0037,pesm_0038,pesm_0039,pesm_0040,pesm_0041,pesm_0042,pesm_0043,pesm_0044,pesm_0045,pesm_0046,pesm_0047,pesm_0048,pesm_0049
mg2si_struct_11.vasp,-33.510382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4617263250346625e-246,2.2708439833889008e-176,3.191563202410515e-118,9.610393849152564e-72,6.200125897182635e-37,8.570011711510564e-14,0.025379549436174754,0.01610304421124533,2.1890397505644666e-14,6.375597560005358e-38,7.019166499423638e-36,4.809144951290193e-13,0.07059464771363479,0.022202264314120732,1.496043931832783e-14,2.1597973821255651e-38,3.338532752882038e-31,1.3288548407831299e-10,0.12856155996657126,0.5566841040240322,0.17072969484021533,0.15749167138051848,1.5657181980598964,1.3426367004596313,1.0575597324967811,1.18244857297434,0.7170708284626158,0.16469768716281535,0.10257466268049174,93.75224789811459
mg2si_struct_12.vasp,-33.395208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5523252500266644e-257,1.1061892887018686e-185,7.38019369311865e-126,1.0549397488934238e-77,3.2307930339094403e-41,2.1198845242971272e-16,0.0029801413000734157,0.08976005149004856,5.792298238572182e-12,8.008299784399547e-34,5.6907284948609525e-39,6.646718491732024e-15,0.016632912018155695,0.08917659384493434,1.024365764098345e-12,1.4543804066078733e-17,0.0006818119211249351,0.20960832189770723,0.442153588902153,0.4956259093946433,1.4553668982724148,0.41730592282031886,0.0012471425980870737,0.002321476790958354,1.752631127119821,1.306352043717138,1.4871786713727249,0.7750705511991408,0.5665176099989276,93.4444439110107
mg2si_struct_13.vasp,-33.336132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.922405131737093e-252,1.635829558135111e-181,1.961811454243864e-122,5.040783738970676e-75,2.774983789752837e-39,3.272988056599126e-15,0.008270846784679792,0.04477928099839887,5.194285797303476e-13,1.2909105558767438e-35,1.3979629174158932e-37,4.6275774270160856e-14,0.03281960287211185,0.0498694449454553,1.623518839002431e-13,1.194156347558439e-36,1.629550772630085e-14,0.009213184951228514,0.082641815079389,0.22656993537231407,0.8959869007760572,0.48545999993242445,0.5433051369738475,0.7732652478084989,0.7468073012371979,1.8441069937989572,1.5800114525969353,1.899872593491044,0.37614016376928977,93.35747495016437
mg2si_struct_14.vasp,-16.833592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.007907377807966e-249,6.686864593021953e-179,2.390281039746056e-120,1.830614884880392e-73,3.003769458708232e-38,1.055985099850082e-14,0.007953724949954596,0.012835267722689215,4.4377300495927855e-14,3.2872929917566433e-37,5.217200564685478e-72,4.18358311717232e-56,4.585349519669418e-26,1.0767579188599691e-07,0.5417329959340758,5.839478820931271e-06,0.0011213398261557899,0.05284508904459062,5.335727062885609e-12,1.154261375609376e-33,7.3823872981105e-21,2.6270138826236335e-05,0.2011622520599776,0.16803144398232653,0.006246834909392013,0.01595185014758067,1.247007618299488e-07,1.0387159446280188,1.0614701262084065,1.62771724731607e-07,5.347851313297115e-26,3.7644477009828183e-56,3.3650594269234137e-51,5.008380372992681e-22,0.00015975038905557303,109.6144784898932
mg2si_struct_15.vasp,-33.22615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5482e-319,3.8160842341008656e-239,2.0152806988119377e-170,2.2802093576203314e-113,5.527585728706087e-68,2.8708984796091226e-34,3.194638850275636e-12,0.07616356913932325,0.003890401207759333,4.2575825808131807e-16,9.982822621898418e-41,6.218702360278678e-34,6.6926323838687576e-12,0.1543177047156948,0.007623530195531649,8.068969607525482e-16,1.8297915583200083e-40,1.1366209890193543e-24,3.93377645596541e-07,0.3716856038592242,0.4305564813192362,0.031520382165205446,0.39244271085658283,0.6000492274808542,1.5651289804932484,1.3415612143954878,2.0066989486499334,0.8454476397593386,0.43155893939646667,0.9342185797569394,93.49949066695017
mg2si_struct_16.vasp,-33.177942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.425036588083786e-288,4.678638096055459e-212,1.0598480978209684e-147,5.143862864441547e-95,5.348804492049806e-54,1.1916415873353556e-24,5.687955157199016e-07,0.5816855314061301,1.2745061758599691e-06,5.98297533144592e-24,6.017805462647074e-53,1.0361215017298312e-26,6.89388032056545e-08,0.9827394226943743,3.001474111489656e-05,1.964049416122888e-21,1.5884132566794257e-37,2.9475339195796353e-14,0.01600969636328932,0.07484617196977342,0.5826330592040526,0.2466557332576093,1.3687013398644627,1.297349613081214,4.882859805271337,0.011339689291458744,2.148653386971448e-15,8.982307425331778e-40,4.285155019028999e-22,0.00013664198418150597,93.35199827414004
mg2si_struct_17.vasp,-33.213926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.922504522383474e-302,5.637059850769702e-224,1.1495330866484657e-157,5.022406855079111e-103,4.701364151473035e-60,9.428822864751318e-29,4.051470187424397e-09,0.37298331389354167,7.356779580471337e-05,3.108906566662711e-20,2.8148106230260283e-47,7.816814360985121e-30,1.4188219754895816e-09,0.5517566801168692,0.000459715215833727,8.206382245901481e-19,3.171071782351697e-41,1.608649184995783e-16,0.0017485626023042585,0.06865124864678662,0.19550529675495887,0.28877051137049975,0.004559277330252293,0.2972843566452733,0.6347760393906823,1.580033256251082,2.335919140026186,0.770513080533771,1.4363785117746481,0.3365319711038728,93.35393047796798
mg2si_struct_18.vasp,-33.127003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3124505528699761e-280,1.1751572688988182e-205,2.254398140096334e-142,9.265883357529553e-91,8.159520264560878e-51,1.5394443959746993e-22,6.222787545142826e-06,0.5389240014934138,9.999808031393133e-08,3.975368435190648e-26,9.229665325019279e-55,4.501468968854316e-25,4.882881887291324e-07,1.1348011386468573,5.650474140698844e-06,6.027977265381673e-23,1.3778041354432064e-51,2.518592796949416e-26,5.6522181294019016e-08,0.27186370560359086,0.290766804200083,0.12018655714371326,0.004461785722390425,0.7228816751387004,0.7871023423677214,2.676120178505691,1.4077924301226412,0.9897714056787426,0.22772791613361232,0.11716368072863723,93.42294284338394
mg2si_struct_19.vasp,-33.240984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.367157609777699e-301,3.1466773380620045e-223,4.857660335724727e-157,1.6066588147184687e-102,1.1385228810516114e-59,1.7285480252530318e-28,5.62267165124176e-09,0.3918551691272386,5.85099898429725e-05,1.871785378617105e-20,1.2829320755078466e-47,1.233967701287049e-29,1.8255002371751966e-09,0.5786041979185157,0.00039291883881018735,5.716704037711891e-19,2.2726728998431223e-34,2.0948787850686845e-12,0.050638138943736505,0.05110974291780469,0.33170815102938683,0.9369899115580175,0.36997987862500353,1.2727064736390552,3.094433172468237,1.1509680542199825,8.25562835561194e-05,0.15279542936318283,6.156471061526115e-10,0.00013664198418150662,93.35226283324201
mg2si_struct_20.vasp,-34.023232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.227117385761166e-306,2.9651544616541794e-227,2.041503753898681e-160,3.011442873753015e-105,9.517451241649907e-62,6.444485890229675e-30,9.349265195760658e-10,0.2905950858134131,0.00019351767508512375,2.761052057128582e-19,8.440149459441557e-46,1.0433428006658788e-30,4.6298015851707333e-10,0.4401688652482648,0.0008965981656189197,3.9128928648052975e-18,3.6586398197972356e-44,1.7376170109459e-23,2.157360453988005e-06,0.5904682412877147,1.0546796885668561,0.44717441892968707,0.11543271421976281,0.5356997049942611,2.260239074772942,0.7239463660417645,2.092599154792498,0.009348375212250938,0.3722063708754906,0.8726564953076483,94.25993495019559
