ind,Lambda,max packing efficiency,OFM: s^1 - s^2,OFM: s^1 - d^2,OFM: s^2 - s^2,OFM: s^2 - s^1,OFM: p^1 - p^1,OFM: s^1 - d^10,std_dev Gaussian center=1.0 width=1.0,OFM: p^1 - s^1,OFM: s^1 - f^1,OFM: s^1 - p^4,avg d valence electrons,std_dev Gaussian center=6.0 width=1.0,std_dev Gaussian center=4.0 width=1.0,OFM: d^1 - s^1,OFM: s^1 - s^1,std_dev Gaussian center=8.0 width=1.0,OFM: p^4 - s^1,std_dev Gaussian center=3.0 width=1.0,mean Gaussian center=1.0 width=1.0,OFM: s^1 - p^3,mean Gaussian center=2.0 width=1.0,OFM: s^1 - p^1,avg p valence electrons,structural complexity per cell,mean Gaussian center=5.0 width=1.0,mean Gaussian center=3.0 width=1.0,structural complexity per atom,avg f valence electrons,mean Gaussian center=7.0 width=1.0,avg s valence electrons,std_dev Gaussian center=2.0 width=1.0,std_dev Gaussian center=7.0 width=1.0,mean Gaussian center=9.0 width=1.0,std_dev Gaussian center=5.0 width=1.0,OFM: s^1 - d^1,std_dev Gaussian center=9.0 width=1.0,std_dev Gaussian center=0.0 width=1.0,mean Gaussian center=0.0 width=1.0,mean Gaussian center=4.0 width=1.0
304,0.4398550724637682,0.5747150676446037,0.2235725630177099,0.0,0.0,0.1729065457268994,0.0,0.2235725630177099,0.0019519342619997,0.0,0.0,0.2235725630177099,1.0,0.0006098804865832,0.0016181492275179,0.0,1.3996768370289858,0.0005101748103787,0.1729065457268994,0.0017305023456864,0.0387571762121892,0.0,0.0989640221936921,0.0,0.4,25.219280948873624,0.0885656346237923,0.0862443850409488,2.5219280948873624,0.0,0.0891972000776945,1.1,0.0016517089207657,0.0003301091053237,0.0863283276644262,0.0010159984883954,0.0,0.0011300794905041,0.0006848269464452,0.0046564770974323,0.0925278112981024
305,0.5007246376811595,0.5667671970356674,0.23813495654501,0.0,0.0,0.1821221612973121,0.0,0.23813495654501,0.0025087322451805,0.0,0.0,0.23813495654501,1.0,0.0010429341912765,0.0021546023506577,0.0,1.4800168646731855,0.0006193434124475,0.1821221612973121,0.0020127512334259,0.0609088301957418,0.0,0.1203768821142506,0.0,0.4,25.219280948873624,0.1062226864000028,0.1034752138015694,2.5219280948873624,0.0,0.1076346508371608,1.1,0.0017667148709512,0.0010923431089087,0.1097064986014999,0.0015321514121074,0.0,0.0006125411148884,0.0012478833091818,0.0097769157214023,0.114654777816005
306,0.6500000000000001,0.5615781381457687,0.2461092698303214,0.0,0.0,0.1855073856546508,0.0,0.2461092698303214,0.0029524152474485,0.0,0.0,0.2461092698303214,1.0,0.000774237996446,0.0020249035384407,0.0,1.5108142645286289,0.0007168303277957,0.1855073856546508,0.0019524854174261,0.0722599631393787,0.0,0.129639026944055,0.0,0.4,25.219280948873624,0.1164099490003074,0.1131344746618287,2.5219280948873624,0.0,0.118242799468203,1.1,0.0016759213088331,0.001068665306848,0.1217965522191855,0.0013360289955311,0.0,0.0006300506320571,0.0016311992891456,0.0130703910739677,0.1238553486477369
307,0.7905797101449276,0.5592818782859064,0.2497596808729243,0.0,0.0,0.1874777704128332,0.0,0.2497596808729243,0.0032513272876871,0.0,0.0,0.2497596808729243,1.0,0.0005678956412278,0.0018713002386778,0.0,1.5291688756249249,0.0006758464647707,0.1874777704128332,0.0018898344726399,0.0789565916052088,0.0,0.1348316731082322,0.0,0.4,25.219280948873624,0.1225695147067208,0.11899508390816,2.5219280948873624,0.0,0.1245380714355672,1.1,0.0015782571873116,0.0009793885652156,0.1277547684219128,0.0011567300254259,0.0,0.0018663414718383,0.0018746204269107,0.0152095777637592,0.1289489140951711
308,0.3664,0.3407663435948648,0.324827135981256,0.0,0.1177532336528229,0.3807661143511015,0.1177532336528229,0.0,0.0057472138664542,0.3807661143511015,0.0,0.0,0.0,0.0015675751597858,0.001578976529485,0.0,1.2413565980488883,0.000935494788997,0.0,0.0031317142030803,0.3619759810448683,0.0,0.3867026703390779,0.324827135981256,0.25,12.0,0.3860393949002829,0.3869943802572499,1.5,0.0,0.3868067570442548,1.25,0.0059401155448391,0.0006818184711903,0.3869448975395227,0.0019196217391048,0.0,0.002378125190041,0.0219146446886308,0.2345685088974388,0.3881857070139505
309,0.4427,0.3520873025177512,0.3406825472958288,0.0,0.1220483803629312,0.3983898558256057,0.1220483803629312,0.0,0.0048799382715202,0.3983898558256057,0.0,0.0,0.0,0.0020464429200219,0.0017842142359008,0.0,1.3078217308295312,0.0001719688645772,0.0,0.0038355447662186,0.4067734752194765,0.0,0.4296278719904997,0.3406825472958288,0.25,12.0,0.4297269636140636,0.4305658363166974,1.5,0.0,0.4298882510475552,1.25,0.0056589096599084,0.0012893251599496,0.4324843733319544,0.0017264644938165,0.0,0.0019168257105897,0.0239458771729194,0.2740023693617981,0.4310571404662956
310,0.8397,0.3559253528229892,0.3549381237997825,0.0,0.1259260784820716,0.4151094833057221,0.1259260784820716,0.0,0.0044797541895783,0.4151094833057221,0.0,0.0,0.0,0.0018075772281274,0.002035489599007,0.0,1.3684908483159222,0.0009059670758221,0.0,0.004096819732233,0.4456169550039721,0.0,0.4674335507780405,0.3549381237997825,0.25,12.0,0.4680937061221389,0.4687643146370616,1.5,0.0,0.467898402213416,1.25,0.0051405916491221,0.0015848353316011,0.4676281209233938,0.0011824493878852,0.0,0.001781812075011,0.0255141899241134,0.3094685387145859,0.4685335039486141
311,1.145,0.3536922343264608,0.3678359406153043,0.0,0.1294846862113517,0.4297204230988519,0.1294846862113517,0.0,0.0044910057277752,0.4297204230988519,0.0,0.0,0.0,0.0012395206871727,0.0023022853974511,0.0,1.4222242515991366,0.0012814902557017,0.0,0.0041223082854469,0.4808784887010551,0.0,0.502064304334931,0.3678359406153043,0.25,12.0,0.5031294992786205,0.5036539569619346,1.5,0.0,0.5027346804335221,1.25,0.004515199611209,0.0015382019252684,0.5024170984822962,0.0006749384070382,0.0,0.0026788048502189,0.0267615819904925,0.3423397683564687,0.5027873059100558
312,0.089,0.4601435111304136,0.0,0.0,0.0,0.0,0.0,0.0,0.0028866008019778,0.0,0.0,0.0,0.0,0.0014409321875887,0.0015890057270826,0.0,2.3249858575158973,0.0018993060765674,0.0,0.002157852699217,0.3429608023908936,0.0,0.3629649971911282,0.0,0.0,19.01955000865388,0.3645652595671652,0.3664634206110179,1.584962500721156,0.0,0.3657276189766591,1.0,0.0057155851629581,0.0007053038097995,0.3704285108705586,0.0026875061066251,0.0,0.0016230116409388,0.0428716539726336,0.2075190743351672,0.3659627332572996
313,1.45,0.5740787127543572,0.0,0.0,0.0,0.0,0.0,0.0,0.0023029284839381,0.0,0.0,0.0,0.0,0.0002416433473561,0.0002567277675582,0.0,3.441195530565279,1.4909610811705305e-05,0.0,5.8406225024388775e-06,0.4670206944293618,0.0,0.4857304319626999,0.0,0.0,2.7548875021634687,0.4864016405960905,0.4860170413477161,0.9182958340544896,0.0,0.4861522631105755,1.0,0.0007551332758343,7.626092678359428e-05,0.4875736557564358,0.0002717205317097,0.0,0.0018705311075172,0.0050795201408097,0.3119279696785693,0.4861620503533597
